WP,Task #,Task detail,PRE,SUC,SP,IT,MER,LR
1,1,Board pretreatment and punching,0,2,None,None,None,None
2,2,2D panel assembly,1,4,Plane,None,Product/Material/Steel_Material,WL
2,3,Butt weld and fillet weld,1,4,Plane,None,Product/Material/Welding_Material,WL
2,4,3D assembly,"2,3",5,Space,None,Product/Material/Steel_Material,WL
2,5,Apply fire paint at strucutral member,4,6,Space,None,Product/Material/Painting_Material,PT
3,6,Rebar Fixing,5,7,None,None,Product/Material/Steel_Material,RL
3,7,Pouring and curing Concrete,6,8,None,None,Product/Material/Concrete_Material,CL
4,8,Door and window frame installation,7,9,Space/Room_level_space/V_plane,Interface/Door/Window,Product/Furniture/Door/Window,TL
5,9,Stud installation at ceiling,8,10,Space/Room_level_space/H_plane/Ceil,None,Product/Member/Stud,None
5,10,Stud installation at wall,9,11,Space/Room_level_space/V_plane/Wall,None,Product/Member/Stud,None
5,11,Rockwool in-fill and fire board installation at wall,10,12,Space/Room_level_space/V_plane/Wall,None,Product/Material/Insulation_Material/Member/Board,None
5,12,Installation of MEP at ceiling,11,13,Space/Room_level_space/H_plane/Ceil,Interface/MEP_opening,Product/Member/MEP_Member,None
5,13,Rockwool in-fill and fire board installation at ceiling,12,14,Space/Room_level_space/H_plane/Ceil,None,Product/Material/Insulation_Material/Member/Board,None
5,14,Installation of MEP at wall surface,13,15,Space/Room_level_space/V_plane/Wall,Interface/MEP_opening,Product/Member/MEP_Member,None
5,15,Installation of gypsum board at wall surface,14,16,Space/Room_level_space/V_plane/Wall,None,Product/Member/Board,None
6,16,Layer and coat painting ceiling,15,17,Space/Room_level_space/H_plane/Ceil,None,Product/Material/Painting_Material,PT
6,17,Layer and coat painting wall,16,18,Space/Room_level_space/V_plane/Wall,None,Product/Material/Painting_Material,PT
7,18,Installation of pipes,17,19,Space/Story_level_space,Interface/MEP_opening,Product/Member/MEP_Member,PL
7,19,Electrical cable wiring,18,20,Space/Story_level_space,Interface/MEP_opening,Product/Member/MEP_Member,PL
8,20,Window type AC installation,19,21,Space/Room_level_space,Interface/Window/MEP_opening,Product/Furniture/MEP_Good,PL
8,21,Installation of lighting system,20,22,Space/Room_level_space,Interface/MEP_opening,Product/Furniture/MEP_Good,PL
9,22,Cabinets installation,21,23,Space/Room_level_space,None,Product/Furniture/Other_Good,None
9,23,Door and window ironmongery,22,24,Space/Room_level_space/V_plane,Interface/Door/Window,Product/Furniture/Other_Good/Door/Window,TL
1,1,Board pretreatment and punching,0,2,None,None,None,None
2,2,2D panel assembly,1,4,Plane,None,Product/Material/Steel_Material,WL
2,3,Butt weld and fillet weld,1,4,Plane,None,Product/Material/Welding_Material,WL
2,4,3D assembly,"2,3",5,Space,None,Product/Material/Steel_Material,WL
2,5,Apply fire paint at strucutral member,4,6,Space,None,Product/Material/Painting_Material,PT
3,6,Rebar Fixing,5,7,None,None,Product/Material/Steel_Material,RL
3,7,Pouring and curing Concrete,6,8,None,None,Product/Material/Concrete_Material,CL
4,8,Door and window frame installation,7,9,Space/Room_level_space/V_plane,Interface/Door/Window,Product/Furniture/Door/Window,TL
5,9,Stud installation at ceiling,8,10,Space/Room_level_space/H_plane/Ceil,None,Product/Member/Stud,None
5,10,Stud installation at wall,9,11,Space/Room_level_space/V_plane/Wall,None,Product/Member/Stud,None
5,11,Rockwool in-fill and fire board installation at wall,10,12,Space/Room_level_space/V_plane/Wall,None,Product/Material/Insulation_Material/Member/Board,None
5,12,Installation of MEP at ceiling,11,13,Space/Room_level_space/H_plane/Ceil,Interface/MEP_opening,Product/Member/MEP_Member,None
5,13,Rockwool in-fill and fire board installation at ceiling,12,14,Space/Room_level_space/H_plane/Ceil,None,Product/Material/Insulation_Material/Member/Board,None
5,14,Installation of MEP at wall surface,13,15,Space/Room_level_space/V_plane/Wall,Interface/MEP_opening,Product/Member/MEP_Member,None
5,15,Installation of gypsum board at wall surface,14,16,Space/Room_level_space/V_plane/Wall,None,Product/Member/Board,None
6,16,Layer and coat painting ceiling,15,17,Space/Room_level_space/H_plane/Ceil,None,Product/Material/Painting_Material,PT
6,17,Layer and coat painting wall,16,18,Space/Room_level_space/V_plane/Wall,None,Product/Material/Painting_Material,PT
7,18,Installation of pipes,17,19,Space/Story_level_space,Interface/MEP_opening,Product/Member/MEP_Member,PL
7,19,Electrical cable wiring,18,20,Space/Story_level_space,Interface/MEP_opening,Product/Member/MEP_Member,PL
8,20,Window type AC installation,19,21,Space/Room_level_space,Interface/Window/MEP_opening,Product/Furniture/MEP_Good,PL
8,21,Installation of lighting system,20,22,Space/Room_level_space,Interface/MEP_opening,Product/Furniture/MEP_Good,PL
9,22,Cabinets installation,21,23,Space/Room_level_space,None,Product/Furniture/Other_Good,None
9,23,Door and window ironmongery,22,24,Space/Room_level_space/V_plane,Interface/Door/Window,Product/Furniture/Other_Good/Door/Window,TL
1,1,Board pretreatment and punching,0,2,None,None,None,None
2,2,2D panel assembly,1,4,Plane,None,Product/Material/Steel_Material,WL
2,3,Butt weld and fillet weld,1,4,Plane,None,Product/Material/Welding_Material,WL
2,4,3D assembly,"2,3",5,Space,None,Product/Material/Steel_Material,WL
2,5,Apply fire paint at strucutral member,4,6,Space,None,Product/Material/Painting_Material,PT
3,6,Rebar Fixing,5,7,None,None,Product/Material/Steel_Material,RL
3,7,Pouring and curing Concrete,6,8,None,None,Product/Material/Concrete_Material,CL
4,8,Door and window frame installation,7,9,Space/Room_level_space/V_plane,Interface/Door/Window,Product/Furniture/Door/Window,TL
5,9,Stud installation at ceiling,8,10,Space/Room_level_space/H_plane/Ceil,None,Product/Member/Stud,None
5,10,Stud installation at wall,9,11,Space/Room_level_space/V_plane/Wall,None,Product/Member/Stud,None
5,11,Rockwool in-fill and fire board installation at wall,10,12,Space/Room_level_space/V_plane/Wall,None,Product/Material/Insulation_Material/Member/Board,None
5,12,Installation of MEP at ceiling,11,13,Space/Room_level_space/H_plane/Ceil,Interface/MEP_opening,Product/Member/MEP_Member,None
5,13,Rockwool in-fill and fire board installation at ceiling,12,14,Space/Room_level_space/H_plane/Ceil,None,Product/Material/Insulation_Material/Member/Board,None
5,14,Installation of MEP at wall surface,13,15,Space/Room_level_space/V_plane/Wall,Interface/MEP_opening,Product/Member/MEP_Member,None
5,15,Installation of gypsum board at wall surface,14,16,Space/Room_level_space/V_plane/Wall,None,Product/Member/Board,None
6,16,Layer and coat painting ceiling,15,17,Space/Room_level_space/H_plane/Ceil,None,Product/Material/Painting_Material,PT
6,17,Layer and coat painting wall,16,18,Space/Room_level_space/V_plane/Wall,None,Product/Material/Painting_Material,PT
7,18,Installation of pipes,17,19,Space/Story_level_space,Interface/MEP_opening,Product/Member/MEP_Member,PL
7,19,Electrical cable wiring,18,20,Space/Story_level_space,Interface/MEP_opening,Product/Member/MEP_Member,PL
8,20,Window type AC installation,19,21,Space/Room_level_space,Interface/Window/MEP_opening,Product/Furniture/MEP_Good,PL
8,21,Installation of lighting system,20,22,Space/Room_level_space,Interface/MEP_opening,Product/Furniture/MEP_Good,PL
9,22,Cabinets installation,21,23,Space/Room_level_space,None,Product/Furniture/Other_Good,None
9,23,Door and window ironmongery,22,24,Space/Room_level_space/V_plane,Interface/Door/Window,Product/Furniture/Other_Good/Door/Window,TL
1,1,Board pretreatment and punching,0,2,None,None,None,None
2,2,2D panel assembly,1,4,Plane,None,Product/Material/Steel_Material,WL
2,3,Butt weld and fillet weld,1,4,Plane,None,Product/Material/Welding_Material,WL
2,4,3D assembly,"2,3",5,Space,None,Product/Material/Steel_Material,WL
2,5,Apply fire paint at strucutral member,4,6,Space,None,Product/Material/Painting_Material,PT
3,6,Rebar Fixing,5,7,None,None,Product/Material/Steel_Material,RL
3,7,Pouring and curing Concrete,6,8,None,None,Product/Material/Concrete_Material,CL
4,8,Door and window frame installation,7,9,Space/Room_level_space/V_plane,Interface/Door/Window,Product/Furniture/Door/Window,TL
5,9,Stud installation at ceiling,8,10,Space/Room_level_space/H_plane/Ceil,None,Product/Member/Stud,None
5,10,Stud installation at wall,9,11,Space/Room_level_space/V_plane/Wall,None,Product/Member/Stud,None
5,11,Rockwool in-fill and fire board installation at wall,10,12,Space/Room_level_space/V_plane/Wall,None,Product/Material/Insulation_Material/Member/Board,None
5,12,Installation of MEP at ceiling,11,13,Space/Room_level_space/H_plane/Ceil,Interface/MEP_opening,Product/Member/MEP_Member,None
5,13,Rockwool in-fill and fire board installation at ceiling,12,14,Space/Room_level_space/H_plane/Ceil,None,Product/Material/Insulation_Material/Member/Board,None
5,14,Installation of MEP at wall surface,13,15,Space/Room_level_space/V_plane/Wall,Interface/MEP_opening,Product/Member/MEP_Member,None
5,15,Installation of gypsum board at wall surface,14,16,Space/Room_level_space/V_plane/Wall,None,Product/Member/Board,None
6,16,Layer and coat painting ceiling,15,17,Space/Room_level_space/H_plane/Ceil,None,Product/Material/Painting_Material,PT
6,17,Layer and coat painting wall,16,18,Space/Room_level_space/V_plane/Wall,None,Product/Material/Painting_Material,PT
7,18,Installation of pipes,17,19,Space/Story_level_space,Interface/MEP_opening,Product/Member/MEP_Member,PL
7,19,Electrical cable wiring,18,20,Space/Story_level_space,Interface/MEP_opening,Product/Member/MEP_Member,PL
8,20,Window type AC installation,19,21,Space/Room_level_space,Interface/Window/MEP_opening,Product/Furniture/MEP_Good,PL
8,21,Installation of lighting system,20,22,Space/Room_level_space,Interface/MEP_opening,Product/Furniture/MEP_Good,PL
9,22,Cabinets installation,21,23,Space/Room_level_space,None,Product/Furniture/Other_Good,None
9,23,Door and window ironmongery,22,24,Space/Room_level_space/V_plane,Interface/Door/Window,Product/Furniture/Other_Good/Door/Window,TL
1,1,Board pretreatment and punching,0,2,None,None,None,None
2,2,2D panel assembly,1,4,Plane,None,Product/Material/Steel_Material,WL
2,3,Butt weld and fillet weld,1,4,Plane,None,Product/Material/Welding_Material,WL
2,4,3D assembly,"2,3",5,Space,None,Product/Material/Steel_Material,WL
2,5,Apply fire paint at strucutral member,4,6,Space,None,Product/Material/Painting_Material,PT
3,6,Rebar Fixing,5,7,None,None,Product/Material/Steel_Material,RL
3,7,Pouring and curing Concrete,6,8,None,None,Product/Material/Concrete_Material,CL
4,8,Door and window frame installation,7,9,Space/Room_level_space/V_plane,Interface/Door/Window,Product/Furniture/Door/Window,TL
5,9,Stud installation at ceiling,8,10,Space/Room_level_space/H_plane/Ceil,None,Product/Member/Stud,None
5,10,Stud installation at wall,9,11,Space/Room_level_space/V_plane/Wall,None,Product/Member/Stud,None
5,11,Rockwool in-fill and fire board installation at wall,10,12,Space/Room_level_space/V_plane/Wall,None,Product/Material/Insulation_Material/Member/Board,None
5,12,Installation of MEP at ceiling,11,13,Space/Room_level_space/H_plane/Ceil,Interface/MEP_opening,Product/Member/MEP_Member,None
5,13,Rockwool in-fill and fire board installation at ceiling,12,14,Space/Room_level_space/H_plane/Ceil,None,Product/Material/Insulation_Material/Member/Board,None
5,14,Installation of MEP at wall surface,13,15,Space/Room_level_space/V_plane/Wall,Interface/MEP_opening,Product/Member/MEP_Member,None
5,15,Installation of gypsum board at wall surface,14,16,Space/Room_level_space/V_plane/Wall,None,Product/Member/Board,None
6,16,Layer and coat painting ceiling,15,17,Space/Room_level_space/H_plane/Ceil,None,Product/Material/Painting_Material,PT
6,17,Layer and coat painting wall,16,18,Space/Room_level_space/V_plane/Wall,None,Product/Material/Painting_Material,PT
7,18,Installation of pipes,17,19,Space/Story_level_space,Interface/MEP_opening,Product/Member/MEP_Member,PL
7,19,Electrical cable wiring,18,20,Space/Story_level_space,Interface/MEP_opening,Product/Member/MEP_Member,PL
8,20,Window type AC installation,19,21,Space/Room_level_space,Interface/Window/MEP_opening,Product/Furniture/MEP_Good,PL
8,21,Installation of lighting system,20,22,Space/Room_level_space,Interface/MEP_opening,Product/Furniture/MEP_Good,PL
9,22,Cabinets installation,21,23,Space/Room_level_space,None,Product/Furniture/Other_Good,None
9,23,Door and window ironmongery,22,24,Space/Room_level_space/V_plane,Interface/Door/Window,Product/Furniture/Other_Good/Door/Window,TL
1,1,Board pretreatment and punching,0,2,None,None,None,None
2,2,2D panel assembly,1,4,Plane,None,Product/Material/Steel_Material,WL
2,3,Butt weld and fillet weld,1,4,Plane,None,Product/Material/Welding_Material,WL
2,4,3D assembly,"2,3",5,Space,None,Product/Material/Steel_Material,WL
2,5,Apply fire paint at strucutral member,4,6,Space,None,Product/Material/Painting_Material,PT
3,6,Rebar Fixing,5,7,None,None,Product/Material/Steel_Material,RL
3,7,Pouring and curing Concrete,6,8,None,None,Product/Material/Concrete_Material,CL
4,8,Door and window frame installation,7,9,Space/Room_level_space/V_plane,Interface/Door/Window,Product/Furniture/Door/Window,TL
5,9,Stud installation at ceiling,8,10,Space/Room_level_space/H_plane/Ceil,None,Product/Member/Stud,None
5,10,Stud installation at wall,9,11,Space/Room_level_space/V_plane/Wall,None,Product/Member/Stud,None
5,11,Rockwool in-fill and fire board installation at wall,10,12,Space/Room_level_space/V_plane/Wall,None,Product/Material/Insulation_Material/Member/Board,None
5,12,Installation of MEP at ceiling,11,13,Space/Room_level_space/H_plane/Ceil,Interface/MEP_opening,Product/Member/MEP_Member,None
5,13,Rockwool in-fill and fire board installation at ceiling,12,14,Space/Room_level_space/H_plane/Ceil,None,Product/Material/Insulation_Material/Member/Board,None
5,14,Installation of MEP at wall surface,13,15,Space/Room_level_space/V_plane/Wall,Interface/MEP_opening,Product/Member/MEP_Member,None
5,15,Installation of gypsum board at wall surface,14,16,Space/Room_level_space/V_plane/Wall,None,Product/Member/Board,None
6,16,Layer and coat painting ceiling,15,17,Space/Room_level_space/H_plane/Ceil,None,Product/Material/Painting_Material,PT
6,17,Layer and coat painting wall,16,18,Space/Room_level_space/V_plane/Wall,None,Product/Material/Painting_Material,PT
7,18,Installation of pipes,17,19,Space/Story_level_space,Interface/MEP_opening,Product/Member/MEP_Member,PL
7,19,Electrical cable wiring,18,20,Space/Story_level_space,Interface/MEP_opening,Product/Member/MEP_Member,PL
8,20,Window type AC installation,19,21,Space/Room_level_space,Interface/Window/MEP_opening,Product/Furniture/MEP_Good,PL
8,21,Installation of lighting system,20,22,Space/Room_level_space,Interface/MEP_opening,Product/Furniture/MEP_Good,PL
9,22,Cabinets installation,21,23,Space/Room_level_space,None,Product/Furniture/Other_Good,None
9,23,Door and window ironmongery,22,24,Space/Room_level_space/V_plane,Interface/Door/Window,Product/Furniture/Other_Good/Door/Window,TL
1,1,Board pretreatment and punching,0,2,None,None,None,None
2,2,2D panel assembly,1,4,Plane,None,Product/Material/Steel_Material,WL
2,3,Butt weld and fillet weld,1,4,Plane,None,Product/Material/Welding_Material,WL
2,4,3D assembly,"2,3",5,Space,None,Product/Material/Steel_Material,WL
2,5,Apply fire paint at strucutral member,4,6,Space,None,Product/Material/Painting_Material,PT
3,6,Rebar Fixing,5,7,None,None,Product/Material/Steel_Material,RL
3,7,Pouring and curing Concrete,6,8,None,None,Product/Material/Concrete_Material,CL
4,8,Door and window frame installation,7,9,Space/Room_level_space/V_plane,Interface/Door/Window,Product/Furniture/Door/Window,TL
5,9,Stud installation at ceiling,8,10,Space/Room_level_space/H_plane/Ceil,None,Product/Member/Stud,None
5,10,Stud installation at wall,9,11,Space/Room_level_space/V_plane/Wall,None,Product/Member/Stud,None
5,11,Rockwool in-fill and fire board installation at wall,10,12,Space/Room_level_space/V_plane/Wall,None,Product/Material/Insulation_Material/Member/Board,None
5,12,Installation of MEP at ceiling,11,13,Space/Room_level_space/H_plane/Ceil,Interface/MEP_opening,Product/Member/MEP_Member,None
5,13,Rockwool in-fill and fire board installation at ceiling,12,14,Space/Room_level_space/H_plane/Ceil,None,Product/Material/Insulation_Material/Member/Board,None
5,14,Installation of MEP at wall surface,13,15,Space/Room_level_space/V_plane/Wall,Interface/MEP_opening,Product/Member/MEP_Member,None
5,15,Installation of gypsum board at wall surface,14,16,Space/Room_level_space/V_plane/Wall,None,Product/Member/Board,None
6,16,Layer and coat painting ceiling,15,17,Space/Room_level_space/H_plane/Ceil,None,Product/Material/Painting_Material,PT
6,17,Layer and coat painting wall,16,18,Space/Room_level_space/V_plane/Wall,None,Product/Material/Painting_Material,PT
7,18,Installation of pipes,17,19,Space/Story_level_space,Interface/MEP_opening,Product/Member/MEP_Member,PL
7,19,Electrical cable wiring,18,20,Space/Story_level_space,Interface/MEP_opening,Product/Member/MEP_Member,PL
8,20,Window type AC installation,19,21,Space/Room_level_space,Interface/Window/MEP_opening,Product/Furniture/MEP_Good,PL
8,21,Installation of lighting system,20,22,Space/Room_level_space,Interface/MEP_opening,Product/Furniture/MEP_Good,PL
9,22,Cabinets installation,21,23,Space/Room_level_space,None,Product/Furniture/Other_Good,None
9,23,Door and window ironmongery,22,24,Space/Room_level_space/V_plane,Interface/Door/Window,Product/Furniture/Other_Good/Door/Window,TL
1,1,Board pretreatment and punching,0,2,None,None,None,None
2,2,2D panel assembly,1,4,Plane,None,Product/Material/Steel_Material,WL
2,3,Butt weld and fillet weld,1,4,Plane,None,Product/Material/Welding_Material,WL
2,4,3D assembly,"2,3",5,Space,None,Product/Material/Steel_Material,WL
2,5,Apply fire paint at strucutral member,4,6,Space,None,Product/Material/Painting_Material,PT
3,6,Rebar Fixing,5,7,None,None,Product/Material/Steel_Material,RL
3,7,Pouring and curing Concrete,6,8,None,None,Product/Material/Concrete_Material,CL
4,8,Door and window frame installation,7,9,Space/Room_level_space/V_plane,Interface/Door/Window,Product/Furniture/Door/Window,TL
5,9,Stud installation at ceiling,8,10,Space/Room_level_space/H_plane/Ceil,None,Product/Member/Stud,None
5,10,Stud installation at wall,9,11,Space/Room_level_space/V_plane/Wall,None,Product/Member/Stud,None
5,11,Rockwool in-fill and fire board installation at wall,10,12,Space/Room_level_space/V_plane/Wall,None,Product/Material/Insulation_Material/Member/Board,None
5,12,Installation of MEP at ceiling,11,13,Space/Room_level_space/H_plane/Ceil,Interface/MEP_opening,Product/Member/MEP_Member,None
5,13,Rockwool in-fill and fire board installation at ceiling,12,14,Space/Room_level_space/H_plane/Ceil,None,Product/Material/Insulation_Material/Member/Board,None
5,14,Installation of MEP at wall surface,13,15,Space/Room_level_space/V_plane/Wall,Interface/MEP_opening,Product/Member/MEP_Member,None
5,15,Installation of gypsum board at wall surface,14,16,Space/Room_level_space/V_plane/Wall,None,Product/Member/Board,None
6,16,Layer and coat painting ceiling,15,17,Space/Room_level_space/H_plane/Ceil,None,Product/Material/Painting_Material,PT
6,17,Layer and coat painting wall,16,18,Space/Room_level_space/V_plane/Wall,None,Product/Material/Painting_Material,PT
7,18,Installation of pipes,17,19,Space/Story_level_space,Interface/MEP_opening,Product/Member/MEP_Member,PL
7,19,Electrical cable wiring,18,20,Space/Story_level_space,Interface/MEP_opening,Product/Member/MEP_Member,PL
8,20,Window type AC installation,19,21,Space/Room_level_space,Interface/Window/MEP_opening,Product/Furniture/MEP_Good,PL
8,21,Installation of lighting system,20,22,Space/Room_level_space,Interface/MEP_opening,Product/Furniture/MEP_Good,PL
9,22,Cabinets installation,21,23,Space/Room_level_space,None,Product/Furniture/Other_Good,None
